,smpnum,reqnum,errors,status,model,num_users,requests,latency_ms,records,n_gpus,gpu_type,start_timestamp,end_timestamp,experiment_duration_s,n_input_tokens,n_output_tokens,latency_ms_per_token,timestamps_per_token
0,231,0,[],200,EleutherAI/gpt-neox-20b,8,1,284.0,1,4,A100,1697233106105,1697233106389,120,13,1,"[24, 260]","[1697233106129, 1697233106389]"
1,672,0,[],200,EleutherAI/gpt-neox-20b,8,1,868.0,1,4,A100,1697233106105,1697233106973,120,93,20,"[15, 293, 22, 23, 120, 23, 23, 23, 23, 24, 23, 31, 54, 23, 33, 23, 23, 23, 24, 22]","[1697233106120, 1697233106413, 1697233106435, 1697233106458, 1697233106578, 1697233106601, 1697233106624, 1697233106647, 1697233106670, 1697233106694, 1697233106717, 1697233106748, 1697233106802, 1697233106825, 1697233106858, 1697233106881, 1697233106904, 1697233106927, 1697233106951, 1697233106973]"
2,601,1,[],200,EleutherAI/gpt-neox-20b,8,1,772.0,1,4,A100,1697233106392,1697233107164,120,83,20,"[9, 178, 22, 24, 23, 22, 24, 23, 31, 54, 23, 33, 23, 23, 23, 24, 22, 94, 23, 74]","[1697233106401, 1697233106579, 1697233106601, 1697233106625, 1697233106648, 1697233106670, 1697233106694, 1697233106717, 1697233106748, 1697233106802, 1697233106825, 1697233106858, 1697233106881, 1697233106904, 1697233106927, 1697233106951, 1697233106973, 1697233107067, 1697233107090, 1697233107164]"
3,752,0,[],200,EleutherAI/gpt-neox-20b,8,1,330.0,1,4,A100,1697233106105,1697233106435,120,39,3,"[24, 284, 22]","[1697233106129, 1697233106413, 1697233106435]"
4,879,0,[],200,EleutherAI/gpt-neox-20b,8,1,2285.0,1,4,A100,1697233106106,1697233108391,120,39,55,"[27, 280, 22, 23, 120, 23, 23, 24, 22, 24, 23, 31, 54, 23, 33, 23, 23, 23, 23, 23, 94, 23, 74, 29, 30, 22, 22, 22, 95, 23, 26, 23, 29, 22, 66, 22, 22, 171, 23, 22, 105, 25, 112, 24, 22, 23, 23, 34, 22, 23, 52, 23, 23, 22, 25]","[1697233106133, 1697233106413, 1697233106435, 1697233106458, 1697233106578, 1697233106601, 1697233106624, 1697233106648, 1697233106670, 1697233106694, 1697233106717, 1697233106748, 1697233106802, 1697233106825, 1697233106858, 1697233106881, 1697233106904, 1697233106927, 1697233106950, 1697233106973, 1697233107067, 1697233107090, 1697233107164, 1697233107193, 1697233107223, 1697233107245, 1697233107267, 1697233107289, 1697233107384, 1697233107407, 1697233107433, 1697233107456, 1697233107485, 1697233107507, 1697233107573, 1697233107595, 1697233107617, 1697233107788, 1697233107811, 1697233107833, 1697233107938, 1697233107963, 1697233108075, 1697233108099, 1697233108121, 1697233108144, 1697233108167, 1697233108201, 1697233108223, 1697233108246, 1697233108298, 1697233108321, 1697233108344, 1697233108366, 1697233108391]"
5,339,0,[],200,EleutherAI/gpt-neox-20b,8,1,868.0,1,4,A100,1697233106105,1697233106973,120,87,20,"[20, 288, 22, 23, 120, 24, 23, 22, 23, 24, 23, 31, 54, 23, 33, 23, 23, 23, 24, 22]","[1697233106125, 1697233106413, 1697233106435, 1697233106458, 1697233106578, 1697233106602, 1697233106625, 1697233106647, 1697233106670, 1697233106694, 1697233106717, 1697233106748, 1697233106802, 1697233106825, 1697233106858, 1697233106881, 1697233106904, 1697233106927, 1697233106951, 1697233106973]"
6,158,0,[],200,EleutherAI/gpt-neox-20b,8,1,868.0,1,4,A100,1697233106105,1697233106973,120,85,20,"[20, 288, 22, 23, 120, 24, 22, 24, 22, 24, 23, 31, 54, 23, 33, 23, 23, 23, 24, 22]","[1697233106125, 1697233106413, 1697233106435, 1697233106458, 1697233106578, 1697233106602, 1697233106624, 1697233106648, 1697233106670, 1697233106694, 1697233106717, 1697233106748, 1697233106802, 1697233106825, 1697233106858, 1697233106881, 1697233106904, 1697233106927, 1697233106951, 1697233106973]"
7,194,1,[],200,EleutherAI/gpt-neox-20b,8,1,513.0,1,4,A100,1697233106438,1697233106951,120,335,16,"[10, 130, 24, 23, 23, 22, 24, 23, 31, 54, 23, 33, 23, 23, 23, 24]","[1697233106448, 1697233106578, 1697233106602, 1697233106625, 1697233106648, 1697233106670, 1697233106694, 1697233106717, 1697233106748, 1697233106802, 1697233106825, 1697233106858, 1697233106881, 1697233106904, 1697233106927, 1697233106951]"
8,563,0,[],200,EleutherAI/gpt-neox-20b,8,1,823.0,1,4,A100,1697233106104,1697233106927,120,874,18,"[16, 293, 22, 23, 120, 23, 23, 23, 23, 24, 23, 31, 54, 23, 33, 23, 23, 23]","[1697233106120, 1697233106413, 1697233106435, 1697233106458, 1697233106578, 1697233106601, 1697233106624, 1697233106647, 1697233106670, 1697233106694, 1697233106717, 1697233106748, 1697233106802, 1697233106825, 1697233106858, 1697233106881, 1697233106904, 1697233106927]"
9,861,0,[],200,EleutherAI/gpt-neox-20b,8,1,286.0,1,4,A100,1697233106104,1697233106390,120,10,1,"[29, 256]","[1697233106133, 1697233106389]"
