,smpnum,reqnum,errors,status,model,num_users,requests,latency_ms,records,n_gpus,gpu_type,start_timestamp,end_timestamp,experiment_duration_s,n_input_tokens,n_output_tokens,latency_ms_per_token,timestamps_per_token
0,672,0,[],200,Salesforce/codegen2-16B,4,1,545.0,1,1,H100,1697096158076,1697096158621,120,93,20,"[9, 96, 25, 24, 24, 25, 24, 24, 25, 24, 25, 24, 25, 24, 24, 25, 24, 25, 24, 25]","[1697096158085, 1697096158181, 1697096158206, 1697096158230, 1697096158254, 1697096158279, 1697096158303, 1697096158327, 1697096158352, 1697096158376, 1697096158401, 1697096158425, 1697096158450, 1697096158474, 1697096158498, 1697096158523, 1697096158547, 1697096158572, 1697096158596, 1697096158621]"
1,879,0,[],200,Salesforce/codegen2-16B,4,1,1756.0,1,1,H100,1697096158076,1697096159832,120,39,55,"[5, 100, 25, 24, 24, 25, 24, 24, 25, 24, 25, 24, 25, 24, 24, 25, 24, 25, 24, 25, 141, 57, 76, 28, 28, 28, 28, 36, 38, 28, 28, 28, 28, 28, 28, 28, 28, 59, 25, 24, 24, 64, 26, 25, 25, 26, 25, 25, 26, 25, 25, 26, 25, 26, 26]","[1697096158081, 1697096158181, 1697096158206, 1697096158230, 1697096158254, 1697096158279, 1697096158303, 1697096158327, 1697096158352, 1697096158376, 1697096158401, 1697096158425, 1697096158450, 1697096158474, 1697096158498, 1697096158523, 1697096158547, 1697096158572, 1697096158596, 1697096158621, 1697096158762, 1697096158819, 1697096158895, 1697096158923, 1697096158951, 1697096158979, 1697096159007, 1697096159043, 1697096159081, 1697096159109, 1697096159137, 1697096159165, 1697096159193, 1697096159221, 1697096159249, 1697096159277, 1697096159305, 1697096159364, 1697096159389, 1697096159413, 1697096159437, 1697096159501, 1697096159527, 1697096159552, 1697096159577, 1697096159603, 1697096159628, 1697096159653, 1697096159679, 1697096159704, 1697096159729, 1697096159755, 1697096159780, 1697096159806, 1697096159832]"
2,158,0,[],200,Salesforce/codegen2-16B,4,1,545.0,1,1,H100,1697096158076,1697096158621,120,85,20,"[5, 100, 25, 24, 24, 25, 24, 24, 25, 24, 25, 24, 25, 24, 24, 25, 24, 25, 24, 25]","[1697096158081, 1697096158181, 1697096158206, 1697096158230, 1697096158254, 1697096158279, 1697096158303, 1697096158327, 1697096158352, 1697096158376, 1697096158401, 1697096158425, 1697096158450, 1697096158474, 1697096158498, 1697096158523, 1697096158547, 1697096158572, 1697096158596, 1697096158621]"
3,563,0,[],200,Salesforce/codegen2-16B,4,1,1229.0,1,1,H100,1697096158076,1697096159305,120,874,18,"[9, 677, 57, 76, 28, 28, 28, 28, 36, 38, 28, 28, 28, 28, 28, 28, 28, 28]","[1697096158085, 1697096158762, 1697096158819, 1697096158895, 1697096158923, 1697096158951, 1697096158979, 1697096159007, 1697096159043, 1697096159081, 1697096159109, 1697096159137, 1697096159165, 1697096159193, 1697096159221, 1697096159249, 1697096159277, 1697096159305]"
4,748,1,[],200,Salesforce/codegen2-16B,4,1,500.0,1,1,H100,1697096159306,1697096159806,120,182,14,"[4, 164, 27, 26, 25, 25, 26, 25, 25, 26, 25, 25, 26, 25, 26]","[1697096159310, 1697096159474, 1697096159501, 1697096159527, 1697096159552, 1697096159577, 1697096159603, 1697096159628, 1697096159653, 1697096159679, 1697096159704, 1697096159729, 1697096159755, 1697096159780, 1697096159806]"
5,857,1,[],200,Salesforce/codegen2-16B,4,1,170.0,1,1,H100,1697096158622,1697096158792,120,18,1,"[5, 165]","[1697096158627, 1697096158792]"
6,335,1,[],200,Salesforce/codegen2-16B,4,1,2159.0,1,1,H100,1697096158622,1697096160781,120,58,62,"[5, 268, 28, 28, 28, 28, 36, 38, 28, 28, 28, 28, 28, 28, 28, 28, 59, 25, 24, 24, 64, 26, 25, 25, 25, 26, 25, 26, 25, 25, 26, 25, 26, 26, 60, 76, 25, 26, 26, 60, 26, 27, 27, 27, 27, 26, 27, 27, 27, 27, 27, 26, 27, 29, 76, 27, 27, 26, 30, 62, 25, 26]","[1697096158627, 1697096158895, 1697096158923, 1697096158951, 1697096158979, 1697096159007, 1697096159043, 1697096159081, 1697096159109, 1697096159137, 1697096159165, 1697096159193, 1697096159221, 1697096159249, 1697096159277, 1697096159305, 1697096159364, 1697096159389, 1697096159413, 1697096159437, 1697096159501, 1697096159527, 1697096159552, 1697096159577, 1697096159602, 1697096159628, 1697096159653, 1697096159679, 1697096159704, 1697096159729, 1697096159755, 1697096159780, 1697096159806, 1697096159832, 1697096159892, 1697096159968, 1697096159993, 1697096160019, 1697096160045, 1697096160105, 1697096160131, 1697096160158, 1697096160185, 1697096160212, 1697096160239, 1697096160265, 1697096160292, 1697096160319, 1697096160346, 1697096160373, 1697096160400, 1697096160426, 1697096160453, 1697096160482, 1697096160558, 1697096160585, 1697096160612, 1697096160638, 1697096160668, 1697096160730, 1697096160755, 1697096160781]"
7,88,2,[],200,Salesforce/codegen2-16B,4,1,1099.0,1,1,H100,1697096158793,1697096159892,120,58,20,"[4, 567, 25, 24, 24, 64, 26, 25, 25, 25, 26, 25, 26, 25, 25, 26, 25, 26, 26, 60]","[1697096158797, 1697096159364, 1697096159389, 1697096159413, 1697096159437, 1697096159501, 1697096159527, 1697096159552, 1697096159577, 1697096159602, 1697096159628, 1697096159653, 1697096159679, 1697096159704, 1697096159729, 1697096159755, 1697096159780, 1697096159806, 1697096159832, 1697096159892]"
8,5,2,[],200,Salesforce/codegen2-16B,4,1,646.0,1,1,H100,1697096159807,1697096160453,120,84,20,"[4, 81, 76, 25, 26, 26, 60, 26, 27, 27, 27, 27, 26, 27, 27, 27, 27, 27, 26, 27]","[1697096159811, 1697096159892, 1697096159968, 1697096159993, 1697096160019, 1697096160045, 1697096160105, 1697096160131, 1697096160158, 1697096160185, 1697096160212, 1697096160239, 1697096160265, 1697096160292, 1697096160319, 1697096160346, 1697096160373, 1697096160400, 1697096160426, 1697096160453]"
9,382,3,[],200,Salesforce/codegen2-16B,4,1,746.0,1,1,H100,1697096159893,1697096160639,120,47,20,"[4, 208, 26, 27, 27, 27, 27, 26, 27, 27, 27, 27, 27, 26, 27, 29, 76, 27, 27, 26]","[1697096159897, 1697096160105, 1697096160131, 1697096160158, 1697096160185, 1697096160212, 1697096160239, 1697096160265, 1697096160292, 1697096160319, 1697096160346, 1697096160373, 1697096160400, 1697096160426, 1697096160453, 1697096160482, 1697096160558, 1697096160585, 1697096160612, 1697096160638]"
10,575,4,[],200,Salesforce/codegen2-16B,4,1,688.0,1,1,H100,1697096160639,1697096161327,120,86,20,"[5, 86, 25, 26, 62, 60, 25, 24, 25, 54, 25, 24, 25, 66, 26, 26, 26, 26, 26, 26]","[1697096160644, 1697096160730, 1697096160755, 1697096160781, 1697096160843, 1697096160903, 1697096160928, 1697096160952, 1697096160977, 1697096161031, 1697096161056, 1697096161080, 1697096161105, 1697096161171, 1697096161197, 1697096161223, 1697096161249, 1697096161275, 1697096161301, 1697096161327]"
11,758,5,[],200,Salesforce/codegen2-16B,4,1,687.0,1,1,H100,1697096161328,1697096162015,120,84,20,"[4, 83, 26, 28, 57, 67, 26, 25, 25, 60, 26, 25, 25, 58, 25, 26, 25, 25, 25, 26]","[1697096161332, 1697096161415, 1697096161441, 1697096161469, 1697096161526, 1697096161593, 1697096161619, 1697096161644, 1697096161669, 1697096161729, 1697096161755, 1697096161780, 1697096161805, 1697096161863, 1697096161888, 1697096161914, 1697096161939, 1697096161964, 1697096161989, 1697096162015]"
12,227,1,[],200,Salesforce/codegen2-16B,4,1,835.0,1,1,H100,1697096159833,1697096160668,120,364,25,"[4, 103, 28, 26, 25, 26, 60, 26, 27, 27, 27, 27, 26, 27, 27, 27, 27, 27, 26, 27, 29, 76, 27, 27, 26, 30]","[1697096159837, 1697096159940, 1697096159968, 1697096159994, 1697096160019, 1697096160045, 1697096160105, 1697096160131, 1697096160158, 1697096160185, 1697096160212, 1697096160239, 1697096160265, 1697096160292, 1697096160319, 1697096160346, 1697096160373, 1697096160400, 1697096160426, 1697096160453, 1697096160482, 1697096160558, 1697096160585, 1697096160612, 1697096160638, 1697096160668]"
