,smpnum,reqnum,errors,status,model,num_users,requests,latency_ms,records,n_gpus,gpu_type,start_timestamp,end_timestamp,experiment_duration_s,n_input_tokens,n_output_tokens,latency_ms_per_token,timestamps_per_token
0,861,0,[],200,bigcode/starcoder,8,1,442.0,1.0,2,A10,1697030424313,1697030424755.0,120,10.0,1.0,"[11, 431]","[1697030424324, 1697030424755]"
1,672,0,[],200,bigcode/starcoder,8,1,1651.0,1.0,2,A10,1697030424313,1697030425964.0,120,93.0,20.0,"[16, 476, 49, 47, 265, 52, 49, 48, 49, 49, 49, 48, 112, 50, 50, 49, 50, 49, 48, 46]","[1697030424329, 1697030424805, 1697030424854, 1697030424901, 1697030425166, 1697030425218, 1697030425267, 1697030425315, 1697030425364, 1697030425413, 1697030425462, 1697030425510, 1697030425622, 1697030425672, 1697030425722, 1697030425771, 1697030425821, 1697030425870, 1697030425918, 1697030425964]"
2,231,0,[],200,bigcode/starcoder,8,1,440.0,1.0,2,A10,1697030424315,1697030424755.0,120,13.0,1.0,"[23, 417]","[1697030424338, 1697030424755]"
3,879,0,[],200,bigcode/starcoder,8,1,4460.0,1.0,2,A10,1697030424313,1697030428773.0,120,39.0,55.0,"[24, 468, 48, 48, 265, 52, 49, 48, 49, 49, 49, 48, 113, 49, 50, 49, 50, 49, 48, 46, 179, 46, 126, 46, 46, 46, 46, 46, 182, 47, 47, 46, 46, 47, 112, 47, 45, 395, 49, 46, 220, 46, 219, 47, 48, 47, 47, 47, 47, 46, 111, 53, 47, 47, 47]","[1697030424337, 1697030424805, 1697030424853, 1697030424901, 1697030425166, 1697030425218, 1697030425267, 1697030425315, 1697030425364, 1697030425413, 1697030425462, 1697030425510, 1697030425623, 1697030425672, 1697030425722, 1697030425771, 1697030425821, 1697030425870, 1697030425918, 1697030425964, 1697030426143, 1697030426189, 1697030426315, 1697030426361, 1697030426407, 1697030426453, 1697030426499, 1697030426545, 1697030426727, 1697030426774, 1697030426821, 1697030426867, 1697030426913, 1697030426960, 1697030427072, 1697030427119, 1697030427164, 1697030427559, 1697030427608, 1697030427654, 1697030427874, 1697030427920, 1697030428139, 1697030428186, 1697030428234, 1697030428281, 1697030428328, 1697030428375, 1697030428422, 1697030428468, 1697030428579, 1697030428632, 1697030428679, 1697030428726, 1697030428773]"
4,752,0,[],200,bigcode/starcoder,8,1,542.0,1.0,2,A10,1697030424312,1697030424854.0,120,39.0,3.0,"[21, 472, 49]","[1697030424333, 1697030424805, 1697030424854]"
5,386,1,[],200,bigcode/starcoder,8,1,606.0,1.0,2,A10,1697030424758,1697030425364.0,120,140.0,6.0,"[5, 353, 50, 52, 49, 48, 49]","[1697030424763, 1697030425116, 1697030425166, 1697030425218, 1697030425267, 1697030425315, 1697030425364]"
6,158,0,[],200,bigcode/starcoder,8,1,1651.0,1.0,2,A10,1697030424313,1697030425964.0,120,85.0,20.0,"[17, 475, 49, 47, 265, 52, 49, 48, 49, 49, 49, 48, 113, 49, 50, 49, 50, 49, 48, 46]","[1697030424330, 1697030424805, 1697030424854, 1697030424901, 1697030425166, 1697030425218, 1697030425267, 1697030425315, 1697030425364, 1697030425413, 1697030425462, 1697030425510, 1697030425623, 1697030425672, 1697030425722, 1697030425771, 1697030425821, 1697030425870, 1697030425918, 1697030425964]"
7,194,1,[],200,bigcode/starcoder,8,1,1063.0,1.0,2,A10,1697030424855,1697030425918.0,120,335.0,16.0,"[11, 250, 50, 52, 49, 48, 49, 49, 49, 48, 113, 49, 50, 49, 50, 49, 48]","[1697030424866, 1697030425116, 1697030425166, 1697030425218, 1697030425267, 1697030425315, 1697030425364, 1697030425413, 1697030425462, 1697030425510, 1697030425623, 1697030425672, 1697030425722, 1697030425771, 1697030425821, 1697030425870, 1697030425918]"
8,339,0,[],200,bigcode/starcoder,8,1,1651.0,1.0,2,A10,1697030424313,1697030425964.0,120,87.0,20.0,"[21, 471, 49, 47, 265, 52, 49, 48, 49, 49, 49, 48, 113, 49, 50, 49, 50, 49, 48, 46]","[1697030424334, 1697030424805, 1697030424854, 1697030424901, 1697030425166, 1697030425218, 1697030425267, 1697030425315, 1697030425364, 1697030425413, 1697030425462, 1697030425510, 1697030425623, 1697030425672, 1697030425722, 1697030425771, 1697030425821, 1697030425870, 1697030425918, 1697030425964]"
9,601,1,[],200,bigcode/starcoder,8,1,1559.0,1.0,2,A10,1697030424756,1697030426315.0,120,83.0,20.0,"[5, 405, 52, 49, 48, 49, 49, 49, 48, 113, 49, 50, 49, 50, 49, 48, 45, 180, 46, 126]","[1697030424761, 1697030425166, 1697030425218, 1697030425267, 1697030425315, 1697030425364, 1697030425413, 1697030425462, 1697030425510, 1697030425623, 1697030425672, 1697030425722, 1697030425771, 1697030425821, 1697030425870, 1697030425918, 1697030425963, 1697030426143, 1697030426189, 1697030426315]"
10,682,2,[],200,bigcode/starcoder,8,1,3741.0,1.0,2,A10,1697030425921,1697030429662.0,120,244.0,50.0,"[6, 170, 46, 46, 126, 46, 46, 46, 46, 46, 182, 47, 47, 46, 46, 47, 112, 47, 45, 395, 49, 46, 220, 46, 219, 47, 48, 47, 47, 47, 47, 47, 110, 53, 47, 47, 47, 47, 143, 48, 47, 47, 47, 45, 176, 47, 47, 47, 47, 47, 54]","[1697030425927, 1697030426097, 1697030426143, 1697030426189, 1697030426315, 1697030426361, 1697030426407, 1697030426453, 1697030426499, 1697030426545, 1697030426727, 1697030426774, 1697030426821, 1697030426867, 1697030426913, 1697030426960, 1697030427072, 1697030427119, 1697030427164, 1697030427559, 1697030427608, 1697030427654, 1697030427874, 1697030427920, 1697030428139, 1697030428186, 1697030428234, 1697030428281, 1697030428328, 1697030428375, 1697030428422, 1697030428469, 1697030428579, 1697030428632, 1697030428679, 1697030428726, 1697030428773, 1697030428820, 1697030428963, 1697030429011, 1697030429058, 1697030429105, 1697030429152, 1697030429197, 1697030429373, 1697030429420, 1697030429467, 1697030429514, 1697030429561, 1697030429608, 1697030429662]"
