,smpnum,reqnum,errors,status,model,num_users,requests,latency_ms,records,n_gpus,gpu_type,start_timestamp,end_timestamp,experiment_duration_s,n_input_tokens,n_output_tokens,latency_ms_per_token,timestamps_per_token
0,879,0,[],200,google/flan-t5-xl,1,1,1145.0,1.0,1,A100,1697223205060,1697223206205,120,39.0,55.0,"[21, 62, 20, 19, 20, 19, 22, 20, 19, 20, 19, 20, 19, 20, 19, 19, 20, 20, 19, 19, 22, 19, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 19, 22, 19, 20, 19, 20, 19, 20, 19, 20, 19, 20, 19, 19, 20, 22, 19, 19, 20, 20, 19, 20, 19, 20]","[1697223205081, 1697223205143, 1697223205163, 1697223205182, 1697223205202, 1697223205221, 1697223205243, 1697223205263, 1697223205282, 1697223205302, 1697223205321, 1697223205341, 1697223205360, 1697223205380, 1697223205399, 1697223205418, 1697223205438, 1697223205458, 1697223205477, 1697223205496, 1697223205518, 1697223205537, 1697223205557, 1697223205576, 1697223205596, 1697223205615, 1697223205635, 1697223205655, 1697223205674, 1697223205694, 1697223205713, 1697223205733, 1697223205752, 1697223205774, 1697223205793, 1697223205813, 1697223205832, 1697223205852, 1697223205871, 1697223205891, 1697223205910, 1697223205930, 1697223205949, 1697223205969, 1697223205988, 1697223206007, 1697223206027, 1697223206049, 1697223206068, 1697223206087, 1697223206107, 1697223206127, 1697223206146, 1697223206166, 1697223206185, 1697223206205]"
1,562,1,[],200,google/flan-t5-xl,1,1,805.0,1.0,1,A100,1697223206209,1697223207014,120,67.0,39.0,"[20, 43, 20, 19, 20, 19, 20, 19, 20, 19, 19, 20, 19, 20, 19, 20, 19, 20, 19, 20, 19, 19, 20, 19, 20, 19, 20, 20, 19, 19, 20, 20, 19, 20, 19, 20, 20, 19, 20, 19]","[1697223206229, 1697223206272, 1697223206292, 1697223206311, 1697223206331, 1697223206350, 1697223206370, 1697223206389, 1697223206409, 1697223206428, 1697223206447, 1697223206467, 1697223206486, 1697223206506, 1697223206525, 1697223206545, 1697223206564, 1697223206584, 1697223206603, 1697223206623, 1697223206642, 1697223206661, 1697223206681, 1697223206700, 1697223206720, 1697223206739, 1697223206759, 1697223206779, 1697223206798, 1697223206817, 1697223206837, 1697223206857, 1697223206876, 1697223206896, 1697223206915, 1697223206935, 1697223206955, 1697223206974, 1697223206994, 1697223207013]"
2,156,2,[],200,google/flan-t5-xl,1,1,431.0,1.0,1,A100,1697223207017,1697223207448,120,86.0,20.0,"[16, 43, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 19, 20, 19, 20]","[1697223207033, 1697223207076, 1697223207096, 1697223207115, 1697223207135, 1697223207154, 1697223207174, 1697223207194, 1697223207213, 1697223207233, 1697223207252, 1697223207272, 1697223207292, 1697223207311, 1697223207331, 1697223207350, 1697223207370, 1697223207389, 1697223207409, 1697223207428, 1697223207448]"
3,669,3,[],200,google/flan-t5-xl,1,1,435.0,1.0,1,A100,1697223207452,1697223207887,120,83.0,20.0,"[19, 44, 19, 20, 19, 20, 19, 20, 19, 20, 20, 20, 19, 20, 19, 20, 19, 20, 20, 19, 20]","[1697223207471, 1697223207515, 1697223207534, 1697223207554, 1697223207573, 1697223207593, 1697223207612, 1697223207632, 1697223207651, 1697223207671, 1697223207691, 1697223207711, 1697223207730, 1697223207750, 1697223207769, 1697223207789, 1697223207808, 1697223207828, 1697223207848, 1697223207867, 1697223207887]"
4,227,4,[],200,google/flan-t5-xl,1,1,534.0,1.0,1,A100,1697223207890,1697223208424,120,364.0,25.0,"[15, 51, 19, 20, 19, 19, 20, 19, 19, 20, 19, 19, 20, 19, 20, 19, 20, 19, 20, 19, 20, 20, 19, 20, 20, 20]","[1697223207905, 1697223207956, 1697223207975, 1697223207995, 1697223208014, 1697223208033, 1697223208053, 1697223208072, 1697223208091, 1697223208111, 1697223208130, 1697223208149, 1697223208169, 1697223208188, 1697223208208, 1697223208227, 1697223208247, 1697223208266, 1697223208286, 1697223208305, 1697223208325, 1697223208345, 1697223208364, 1697223208384, 1697223208404, 1697223208424]"
5,747,5,[],200,google/flan-t5-xl,1,1,751.0,1.0,1,A100,1697223208427,1697223209178,120,140.0,36.0,"[14, 51, 19, 20, 19, 19, 20, 19, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 19, 20, 19, 19, 20, 20, 19, 20, 20, 20, 20, 20, 20, 19, 20, 20, 19, 20, 20]","[1697223208441, 1697223208492, 1697223208511, 1697223208531, 1697223208550, 1697223208569, 1697223208589, 1697223208608, 1697223208628, 1697223208647, 1697223208667, 1697223208686, 1697223208706, 1697223208726, 1697223208745, 1697223208765, 1697223208784, 1697223208804, 1697223208823, 1697223208843, 1697223208862, 1697223208881, 1697223208901, 1697223208921, 1697223208940, 1697223208960, 1697223208980, 1697223209000, 1697223209020, 1697223209040, 1697223209060, 1697223209079, 1697223209099, 1697223209119, 1697223209138, 1697223209158, 1697223209178]"
6,333,6,[],200,google/flan-t5-xl,1,1,260.0,1.0,1,A100,1697223209181,1697223209441,120,563.0,11.0,"[19, 44, 20, 20, 19, 20, 20, 19, 20, 19, 19, 20]","[1697223209200, 1697223209244, 1697223209264, 1697223209284, 1697223209303, 1697223209323, 1697223209343, 1697223209362, 1697223209382, 1697223209401, 1697223209420, 1697223209440]"
7,854,7,[],200,google/flan-t5-xl,1,1,610.0,1.0,1,A100,1697223209444,1697223210054,120,67.0,29.0,"[19, 43, 19, 20, 19, 20, 20, 19, 20, 19, 20, 19, 20, 19, 19, 20, 19, 20, 20, 19, 20, 20, 19, 19, 20, 20, 19, 20, 20, 20]","[1697223209463, 1697223209506, 1697223209525, 1697223209545, 1697223209564, 1697223209584, 1697223209604, 1697223209623, 1697223209643, 1697223209662, 1697223209682, 1697223209701, 1697223209721, 1697223209740, 1697223209759, 1697223209779, 1697223209798, 1697223209818, 1697223209838, 1697223209857, 1697223209877, 1697223209897, 1697223209916, 1697223209935, 1697223209955, 1697223209975, 1697223209994, 1697223210014, 1697223210034, 1697223210054]"
8,419,8,[],200,google/flan-t5-xl,1,1,436.0,1.0,1,A100,1697223210058,1697223210494,120,88.0,20.0,"[17, 43, 20, 19, 20, 20, 19, 20, 20, 20, 20, 19, 20, 20, 19, 20, 19, 22, 19, 20, 20]","[1697223210075, 1697223210118, 1697223210138, 1697223210157, 1697223210177, 1697223210197, 1697223210216, 1697223210236, 1697223210256, 1697223210276, 1697223210296, 1697223210315, 1697223210335, 1697223210355, 1697223210374, 1697223210394, 1697223210413, 1697223210435, 1697223210454, 1697223210474, 1697223210494]"
9,4,9,[],200,google/flan-t5-xl,1,1,441.0,1.0,1,A100,1697223210497,1697223210938,120,89.0,20.0,"[9, 49, 19, 19, 20, 19, 20, 19, 20, 20, 19, 20, 19, 20, 20, 19, 20, 19, 32, 19, 20]","[1697223210506, 1697223210555, 1697223210574, 1697223210593, 1697223210613, 1697223210632, 1697223210652, 1697223210671, 1697223210691, 1697223210711, 1697223210730, 1697223210750, 1697223210769, 1697223210789, 1697223210809, 1697223210828, 1697223210848, 1697223210867, 1697223210899, 1697223210918, 1697223210938]"
