,smpnum,reqnum,errors,status,model,num_users,requests,latency_ms,records,n_gpus,gpu_type,start_timestamp,end_timestamp,experiment_duration_s,n_input_tokens,n_output_tokens,latency_ms_per_token,timestamps_per_token
0,879,0,[],200,google/flan-t5-xl,2,1,2327.0,1,1,T4,1697456257385,1697456259712,120,39,55,"[18, 84, 540, 30, 29, 28, 29, 28, 29, 28, 29, 29, 29, 28, 29, 29, 28, 29, 28, 24, 93, 28, 27, 27, 27, 27, 26, 27, 27, 27, 26, 27, 27, 27, 27, 27, 27, 23, 125, 29, 28, 27, 27, 29, 26, 28, 27, 27, 27, 27, 27, 23, 95, 28, 27, 28]","[1697456257403, 1697456257487, 1697456258027, 1697456258057, 1697456258086, 1697456258114, 1697456258143, 1697456258171, 1697456258200, 1697456258228, 1697456258257, 1697456258286, 1697456258315, 1697456258343, 1697456258372, 1697456258401, 1697456258429, 1697456258458, 1697456258486, 1697456258510, 1697456258603, 1697456258631, 1697456258658, 1697456258685, 1697456258712, 1697456258739, 1697456258765, 1697456258792, 1697456258819, 1697456258846, 1697456258872, 1697456258899, 1697456258926, 1697456258953, 1697456258980, 1697456259007, 1697456259034, 1697456259057, 1697456259182, 1697456259211, 1697456259239, 1697456259266, 1697456259293, 1697456259322, 1697456259348, 1697456259376, 1697456259403, 1697456259430, 1697456259457, 1697456259484, 1697456259511, 1697456259534, 1697456259629, 1697456259657, 1697456259684, 1697456259712]"
1,563,0,[],200,google/flan-t5-xl,2,1,1103.0,1,1,T4,1697456257384,1697456258487,120,874,18,"[20, 588, 35, 30, 29, 28, 29, 28, 29, 28, 29, 29, 29, 28, 29, 29, 28, 29, 29]","[1697456257404, 1697456257992, 1697456258027, 1697456258057, 1697456258086, 1697456258114, 1697456258143, 1697456258171, 1697456258200, 1697456258228, 1697456258257, 1697456258286, 1697456258315, 1697456258343, 1697456258372, 1697456258401, 1697456258429, 1697456258458, 1697456258487]"
2,670,1,[],200,google/flan-t5-xl,2,1,543.0,1,1,T4,1697456258491,1697456259034,120,67,18,"[16, 64, 32, 28, 27, 27, 27, 27, 26, 27, 27, 27, 26, 27, 27, 27, 27, 27, 27]","[1697456258507, 1697456258571, 1697456258603, 1697456258631, 1697456258658, 1697456258685, 1697456258712, 1697456258739, 1697456258765, 1697456258792, 1697456258819, 1697456258846, 1697456258872, 1697456258899, 1697456258926, 1697456258953, 1697456258980, 1697456259007, 1697456259034]"
3,748,2,[],200,google/flan-t5-xl,2,1,474.0,1,1,T4,1697456259038,1697456259512,120,182,14,"[17, 91, 36, 29, 28, 27, 27, 29, 27, 27, 27, 27, 27, 27, 27]","[1697456259055, 1697456259146, 1697456259182, 1697456259211, 1697456259239, 1697456259266, 1697456259293, 1697456259322, 1697456259349, 1697456259376, 1697456259403, 1697456259430, 1697456259457, 1697456259484, 1697456259511]"
4,855,3,[],200,google/flan-t5-xl,2,1,666.0,1,1,T4,1697456259515,1697456260181,120,83,20,"[18, 63, 33, 28, 27, 28, 23, 93, 28, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 28]","[1697456259533, 1697456259596, 1697456259629, 1697456259657, 1697456259684, 1697456259712, 1697456259735, 1697456259828, 1697456259856, 1697456259883, 1697456259910, 1697456259937, 1697456259964, 1697456259991, 1697456260018, 1697456260045, 1697456260072, 1697456260099, 1697456260126, 1697456260153, 1697456260181]"
5,156,1,[],200,google/flan-t5-xl,2,1,668.0,1,1,T4,1697456259715,1697456260383,120,86,20,"[9, 71, 33, 28, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 28, 27, 23, 96, 28, 28, 27]","[1697456259724, 1697456259795, 1697456259828, 1697456259856, 1697456259883, 1697456259910, 1697456259937, 1697456259964, 1697456259991, 1697456260018, 1697456260045, 1697456260072, 1697456260099, 1697456260126, 1697456260154, 1697456260181, 1697456260204, 1697456260300, 1697456260328, 1697456260356, 1697456260383]"
6,5,4,[],200,google/flan-t5-xl,2,1,777.0,1,1,T4,1697456260185,1697456260962,120,84,20,"[19, 63, 33, 29, 27, 27, 23, 198, 29, 27, 28, 27, 28, 27, 27, 28, 27, 27, 28, 27, 28]","[1697456260204, 1697456260267, 1697456260300, 1697456260329, 1697456260356, 1697456260383, 1697456260406, 1697456260604, 1697456260633, 1697456260660, 1697456260688, 1697456260715, 1697456260743, 1697456260770, 1697456260797, 1697456260825, 1697456260852, 1697456260879, 1697456260907, 1697456260934, 1697456260962]"
7,227,2,[],200,google/flan-t5-xl,2,1,1013.0,1,1,T4,1697456260387,1697456261400,120,364,25,"[17, 166, 34, 29, 27, 28, 27, 28, 27, 27, 28, 27, 27, 28, 27, 27, 24, 195, 28, 27, 28, 27, 27, 28, 27, 28]","[1697456260404, 1697456260570, 1697456260604, 1697456260633, 1697456260660, 1697456260688, 1697456260715, 1697456260743, 1697456260770, 1697456260797, 1697456260825, 1697456260852, 1697456260879, 1697456260907, 1697456260934, 1697456260961, 1697456260985, 1697456261180, 1697456261208, 1697456261235, 1697456261263, 1697456261290, 1697456261317, 1697456261345, 1697456261372, 1697456261400]"
8,86,5,[],200,google/flan-t5-xl,2,1,925.0,1,1,T4,1697456260965,1697456261890,120,335,17,"[19, 162, 34, 28, 27, 28, 27, 28, 27, 27, 28, 23, 327, 29, 28, 28, 27, 28]","[1697456260984, 1697456261146, 1697456261180, 1697456261208, 1697456261235, 1697456261263, 1697456261290, 1697456261318, 1697456261345, 1697456261372, 1697456261400, 1697456261423, 1697456261750, 1697456261779, 1697456261807, 1697456261835, 1697456261862, 1697456261890]"
9,333,3,[],200,google/flan-t5-xl,2,1,830.0,1,1,T4,1697456261403,1697456262233,120,563,11,"[9, 304, 34, 29, 28, 27, 28, 27, 24, 265, 27, 28]","[1697456261412, 1697456261716, 1697456261750, 1697456261779, 1697456261807, 1697456261834, 1697456261862, 1697456261889, 1697456261913, 1697456262178, 1697456262205, 1697456262233]"
10,190,6,[],200,google/flan-t5-xl,2,1,568.0,1,1,T4,1697456261893,1697456262461,120,335,10,"[19, 234, 32, 27, 28, 23, 95, 28, 27, 28, 27]","[1697456261912, 1697456262146, 1697456262178, 1697456262205, 1697456262233, 1697456262256, 1697456262351, 1697456262379, 1697456262406, 1697456262434, 1697456262461]"
11,419,4,[],200,google/flan-t5-xl,2,1,706.0,1,1,T4,1697456262237,1697456262943,120,88,20,"[18, 63, 33, 28, 27, 28, 27, 23, 131, 28, 28, 27, 27, 27, 28, 27, 27, 27, 27, 28, 27]","[1697456262255, 1697456262318, 1697456262351, 1697456262379, 1697456262406, 1697456262434, 1697456262461, 1697456262484, 1697456262615, 1697456262643, 1697456262671, 1697456262698, 1697456262725, 1697456262752, 1697456262780, 1697456262807, 1697456262834, 1697456262861, 1697456262888, 1697456262916, 1697456262943]"
