,smpnum,reqnum,errors,status,model,num_users,requests,latency_ms,records,n_gpus,gpu_type,start_timestamp,end_timestamp,experiment_duration_s,n_input_tokens,n_output_tokens,latency_ms_per_token,timestamps_per_token
0,837,0,[],200,google/flan-t5-xl,128,1,3872.0,1.0,1,V100,1697026144140,1697026148012.0,120,85.0,20.0,"[30, 527, 38, 69, 28, 64, 28, 68, 298, 37, 29, 28, 29, 1763, 40, 550, 42, 56, 55, 40, 53]","[1697026144170, 1697026144697, 1697026144735, 1697026144804, 1697026144832, 1697026144896, 1697026144924, 1697026144992, 1697026145290, 1697026145327, 1697026145356, 1697026145384, 1697026145413, 1697026147176, 1697026147216, 1697026147766, 1697026147808, 1697026147864, 1697026147919, 1697026147959, 1697026148012]"
1,281,0,[],200,google/flan-t5-xl,128,1,2951.0,1.0,1,V100,1697026144149,1697026147100.0,120,23.0,1.0,"[351, 2600]","[1697026144500, 1697026147100]"
2,553,0,[],200,google/flan-t5-xl,128,1,4522.0,1.0,1,V100,1697026144151,1697026148673.0,120,88.0,20.0,"[524, 2423, 78, 40, 550, 42, 56, 56, 39, 52, 243, 52, 37, 51, 50, 36, 50, 35, 35, 36, 36]","[1697026144675, 1697026147098, 1697026147176, 1697026147216, 1697026147766, 1697026147808, 1697026147864, 1697026147920, 1697026147959, 1697026148011, 1697026148254, 1697026148306, 1697026148343, 1697026148394, 1697026148444, 1697026148480, 1697026148530, 1697026148565, 1697026148600, 1697026148636, 1697026148672]"
3,719,0,[],200,google/flan-t5-xl,128,1,3714.0,1.0,1,V100,1697026144151,1697026147865.0,120,182.0,6.0,"[563, 2384, 78, 40, 550, 42, 56]","[1697026144714, 1697026147098, 1697026147176, 1697026147216, 1697026147766, 1697026147808, 1697026147864]"
4,448,0,[],200,google/flan-t5-xl,128,1,5314.0,1.0,1,V100,1697026144151,1697026149465.0,120,335.0,12.0,"[555, 4227, 34, 29, 212, 36, 28, 28, 28, 37, 36, 28, 35]","[1697026144706, 1697026148933, 1697026148967, 1697026148996, 1697026149208, 1697026149244, 1697026149272, 1697026149300, 1697026149328, 1697026149365, 1697026149401, 1697026149429, 1697026149464]"
5,614,0,[],200,google/flan-t5-xl,128,1,2948.0,1.0,1,V100,1697026144152,1697026147100.0,120,15.0,1.0,"[688, 2260]","[1697026144840, 1697026147100]"
6,225,0,[],200,google/flan-t5-xl,128,1,2951.0,1.0,1,V100,1697026144149,1697026147100.0,120,23.0,1.0,"[682, 2269]","[1697026144831, 1697026147100]"
7,394,0,[],200,google/flan-t5-xl,128,1,2951.0,1.0,1,V100,1697026144149,1697026147100.0,120,11.0,1.0,"[666, 2285]","[1697026144815, 1697026147100]"
8,879,0,[],200,google/flan-t5-xl,128,1,6181.0,1.0,1,V100,1697026144152,1697026150333.0,120,39.0,55.0,"[635, 2312, 77, 40, 550, 42, 57, 54, 40, 52, 243, 53, 36, 52, 49, 36, 50, 35, 36, 35, 37, 294, 29, 212, 36, 28, 28, 28, 37, 36, 28, 35, 120, 34, 38, 27, 34, 31, 26, 26, 26, 25, 26, 27, 26, 26, 26, 25, 26, 26, 26, 139, 26, 32, 25, 26]","[1697026144787, 1697026147099, 1697026147176, 1697026147216, 1697026147766, 1697026147808, 1697026147865, 1697026147919, 1697026147959, 1697026148011, 1697026148254, 1697026148307, 1697026148343, 1697026148395, 1697026148444, 1697026148480, 1697026148530, 1697026148565, 1697026148601, 1697026148636, 1697026148673, 1697026148967, 1697026148996, 1697026149208, 1697026149244, 1697026149272, 1697026149300, 1697026149328, 1697026149365, 1697026149401, 1697026149429, 1697026149464, 1697026149584, 1697026149618, 1697026149656, 1697026149683, 1697026149717, 1697026149748, 1697026149774, 1697026149800, 1697026149826, 1697026149851, 1697026149877, 1697026149904, 1697026149930, 1697026149956, 1697026149982, 1697026150007, 1697026150033, 1697026150059, 1697026150085, 1697026150224, 1697026150250, 1697026150282, 1697026150307, 1697026150333]"
9,836,0,[],200,google/flan-t5-xl,128,1,2955.0,1.0,1,V100,1697026144144,1697026147099.0,120,11.0,1.0,"[287, 2668]","[1697026144431, 1697026147099]"
10,590,0,[],200,google/flan-t5-xl,128,1,4529.0,1.0,1,V100,1697026144145,1697026148674.0,120,88.0,20.0,"[348, 2606, 77, 40, 550, 43, 56, 54, 40, 53, 243, 52, 37, 51, 49, 37, 49, 36, 35, 35, 37]","[1697026144493, 1697026147099, 1697026147176, 1697026147216, 1697026147766, 1697026147809, 1697026147865, 1697026147919, 1697026147959, 1697026148012, 1697026148255, 1697026148307, 1697026148344, 1697026148395, 1697026148444, 1697026148481, 1697026148530, 1697026148566, 1697026148601, 1697026148636, 1697026148673]"
11,389,0,[],200,google/flan-t5-xl,128,1,2955.0,1.0,1,V100,1697026144143,1697026147098.0,120,8.0,1.0,"[143, 2812]","[1697026144286, 1697026147098]"
12,855,0,[],200,google/flan-t5-xl,128,1,4525.0,1.0,1,V100,1697026144149,1697026148674.0,120,83.0,20.0,"[289, 2661, 77, 40, 550, 43, 56, 54, 40, 53, 242, 53, 37, 51, 49, 37, 49, 36, 35, 35, 37]","[1697026144438, 1697026147099, 1697026147176, 1697026147216, 1697026147766, 1697026147809, 1697026147865, 1697026147919, 1697026147959, 1697026148012, 1697026148254, 1697026148307, 1697026148344, 1697026148395, 1697026148444, 1697026148481, 1697026148530, 1697026148566, 1697026148601, 1697026148636, 1697026148673]"
13,371,0,[],200,google/flan-t5-xl,128,1,3522.0,1.0,1,V100,1697026144191,1697026147713.0,120,13.0,1.0,"[812, 2710]","[1697026145003, 1697026147713]"
14,229,0,[],200,google/flan-t5-xl,128,1,2949.0,1.0,1,V100,1697026144151,1697026147100.0,120,15.0,1.0,"[655, 2293]","[1697026144806, 1697026147099]"
15,344,0,[],200,google/flan-t5-xl,128,1,2948.0,1.0,1,V100,1697026144151,1697026147099.0,120,13.0,1.0,"[625, 2323]","[1697026144776, 1697026147099]"
16,474,0,[],200,google/flan-t5-xl,128,1,5530.0,1.0,1,V100,1697026144153,1697026149683.0,120,109.0,33.0,"[778, 2781, 55, 42, 56, 54, 40, 53, 243, 52, 37, 51, 49, 37, 49, 36, 35, 35, 37, 294, 29, 212, 36, 28, 28, 28, 37, 36, 28, 35, 120, 34, 38, 27]","[1697026144931, 1697026147712, 1697026147767, 1697026147809, 1697026147865, 1697026147919, 1697026147959, 1697026148012, 1697026148255, 1697026148307, 1697026148344, 1697026148395, 1697026148444, 1697026148481, 1697026148530, 1697026148566, 1697026148601, 1697026148636, 1697026148673, 1697026148967, 1697026148996, 1697026149208, 1697026149244, 1697026149272, 1697026149300, 1697026149328, 1697026149365, 1697026149401, 1697026149429, 1697026149464, 1697026149584, 1697026149618, 1697026149656, 1697026149683]"
17,450,0,[],200,google/flan-t5-xl,128,1,3873.0,1.0,1,V100,1697026144138,1697026148011.0,120,91.0,20.0,"[11, 70, 516, 69, 28, 64, 28, 68, 298, 37, 29, 28, 28, 1764, 40, 550, 42, 56, 55, 39, 53]","[1697026144149, 1697026144219, 1697026144735, 1697026144804, 1697026144832, 1697026144896, 1697026144924, 1697026144992, 1697026145290, 1697026145327, 1697026145356, 1697026145384, 1697026145412, 1697026147176, 1697026147216, 1697026147766, 1697026147808, 1697026147864, 1697026147919, 1697026147958, 1697026148011]"
18,267,1,[],200,google/flan-t5-xl,128,1,10442.0,1.0,1,V100,1697026147104,1697026157546.0,120,83.0,20.0,"[198, 9039, 35, 169, 132, 96, 78, 76, 27, 27, 27, 27, 88, 29, 28, 27, 28, 27, 28, 27, 229]","[1697026147302, 1697026156341, 1697026156376, 1697026156545, 1697026156677, 1697026156773, 1697026156851, 1697026156927, 1697026156954, 1697026156981, 1697026157008, 1697026157035, 1697026157123, 1697026157152, 1697026157180, 1697026157207, 1697026157235, 1697026157262, 1697026157290, 1697026157317, 1697026157546]"
19,691,0,[],200,google/flan-t5-xl,128,1,2948.0,1.0,1,V100,1697026144150,1697026147098.0,120,47.0,1.0,"[450, 2497]","[1697026144600, 1697026147097]"
