,smpnum,reqnum,errors,status,model,num_users,requests,latency_ms,records,n_gpus,gpu_type,start_timestamp,end_timestamp,experiment_duration_s,n_input_tokens,n_output_tokens,latency_ms_per_token,timestamps_per_token
0,879,0,[],200,google/flan-t5-xxl,1,1,1574.0,1,4,A100,1697449117122,1697449118696,120,39,55,"[22, 85, 28, 28, 26, 26, 27, 28, 28, 26, 27, 26, 26, 26, 26, 28, 27, 26, 28, 26, 26, 36, 25, 29, 40, 27, 27, 25, 26, 26, 28, 28, 26, 26, 27, 26, 26, 26, 29, 27, 26, 27, 26, 26, 26, 26, 28, 27, 26, 27, 27, 25, 26, 27, 29, 28]","[1697449117144, 1697449117229, 1697449117257, 1697449117285, 1697449117311, 1697449117337, 1697449117364, 1697449117392, 1697449117420, 1697449117446, 1697449117473, 1697449117499, 1697449117525, 1697449117551, 1697449117577, 1697449117605, 1697449117632, 1697449117658, 1697449117686, 1697449117712, 1697449117738, 1697449117774, 1697449117799, 1697449117828, 1697449117868, 1697449117895, 1697449117922, 1697449117947, 1697449117973, 1697449117999, 1697449118027, 1697449118055, 1697449118081, 1697449118107, 1697449118134, 1697449118160, 1697449118186, 1697449118212, 1697449118241, 1697449118268, 1697449118294, 1697449118321, 1697449118347, 1697449118373, 1697449118399, 1697449118425, 1697449118453, 1697449118480, 1697449118506, 1697449118533, 1697449118560, 1697449118585, 1697449118611, 1697449118638, 1697449118667, 1697449118695]"
1,562,1,[],200,google/flan-t5-xxl,1,1,1152.0,1,4,A100,1697449118699,1697449119851,120,67,39,"[21, 81, 26, 38, 49, 28, 25, 27, 26, 26, 26, 25, 29, 25, 26, 28, 25, 26, 26, 25, 28, 28, 25, 27, 26, 26, 26, 25, 28, 28, 26, 27, 25, 26, 26, 26, 27, 41, 26, 27]","[1697449118720, 1697449118801, 1697449118827, 1697449118865, 1697449118914, 1697449118942, 1697449118967, 1697449118994, 1697449119020, 1697449119046, 1697449119072, 1697449119097, 1697449119126, 1697449119151, 1697449119177, 1697449119205, 1697449119230, 1697449119256, 1697449119282, 1697449119307, 1697449119335, 1697449119363, 1697449119388, 1697449119415, 1697449119441, 1697449119467, 1697449119493, 1697449119518, 1697449119546, 1697449119574, 1697449119600, 1697449119627, 1697449119652, 1697449119678, 1697449119704, 1697449119730, 1697449119757, 1697449119798, 1697449119824, 1697449119851]"
2,156,2,[],200,google/flan-t5-xxl,1,1,609.0,1,4,A100,1697449119855,1697449120464,120,86,20,"[16, 72, 26, 28, 26, 26, 27, 25, 26, 26, 26, 37, 27, 28, 28, 27, 27, 29, 28, 27, 27]","[1697449119871, 1697449119943, 1697449119969, 1697449119997, 1697449120023, 1697449120049, 1697449120076, 1697449120101, 1697449120127, 1697449120153, 1697449120179, 1697449120216, 1697449120243, 1697449120271, 1697449120299, 1697449120326, 1697449120353, 1697449120382, 1697449120410, 1697449120437, 1697449120464]"
3,669,3,[],200,google/flan-t5-xxl,1,1,650.0,1,4,A100,1697449120468,1697449121118,120,83,20,"[15, 69, 26, 27, 29, 29, 27, 27, 28, 27, 37, 27, 28, 48, 42, 27, 26, 27, 29, 28, 27]","[1697449120483, 1697449120552, 1697449120578, 1697449120605, 1697449120634, 1697449120663, 1697449120690, 1697449120717, 1697449120745, 1697449120772, 1697449120809, 1697449120836, 1697449120864, 1697449120912, 1697449120954, 1697449120981, 1697449121007, 1697449121034, 1697449121063, 1697449121091, 1697449121118]"
4,227,4,[],200,google/flan-t5-xxl,1,1,743.0,1,4,A100,1697449121122,1697449121865,120,364,25,"[17, 74, 26, 26, 27, 28, 28, 26, 26, 27, 26, 27, 26, 26, 27, 26, 26, 27, 26, 27, 26, 26, 26, 43, 26, 27]","[1697449121139, 1697449121213, 1697449121239, 1697449121265, 1697449121292, 1697449121320, 1697449121348, 1697449121374, 1697449121400, 1697449121427, 1697449121453, 1697449121480, 1697449121506, 1697449121532, 1697449121559, 1697449121585, 1697449121611, 1697449121638, 1697449121664, 1697449121691, 1697449121717, 1697449121743, 1697449121769, 1697449121812, 1697449121838, 1697449121865]"
5,747,5,[],200,google/flan-t5-xxl,1,1,1077.0,1,4,A100,1697449121869,1697449122946,120,140,36,"[18, 77, 27, 26, 27, 26, 27, 26, 26, 27, 27, 26, 27, 26, 27, 26, 26, 27, 26, 27, 26, 27, 26, 27, 26, 27, 27, 27, 26, 27, 26, 27, 26, 51, 36, 26, 47]","[1697449121887, 1697449121964, 1697449121991, 1697449122017, 1697449122044, 1697449122070, 1697449122097, 1697449122123, 1697449122149, 1697449122176, 1697449122203, 1697449122229, 1697449122256, 1697449122282, 1697449122309, 1697449122335, 1697449122361, 1697449122388, 1697449122414, 1697449122441, 1697449122467, 1697449122494, 1697449122520, 1697449122547, 1697449122573, 1697449122600, 1697449122627, 1697449122654, 1697449122680, 1697449122707, 1697449122733, 1697449122760, 1697449122786, 1697449122837, 1697449122873, 1697449122899, 1697449122946]"
6,333,6,[],200,google/flan-t5-xxl,1,1,376.0,1,4,A100,1697449122949,1697449123325,120,563,11,"[22, 83, 35, 26, 26, 26, 26, 26, 26, 27, 26, 26]","[1697449122971, 1697449123054, 1697449123089, 1697449123115, 1697449123141, 1697449123167, 1697449123193, 1697449123219, 1697449123245, 1697449123272, 1697449123298, 1697449123324]"
7,854,7,[],200,google/flan-t5-xxl,1,1,863.0,1,4,A100,1697449123327,1697449124190,120,67,29,"[20, 66, 26, 26, 27, 26, 27, 26, 26, 26, 26, 26, 26, 26, 27, 25, 36, 31, 26, 26, 41, 40, 28, 26, 26, 26, 26, 26, 26, 27]","[1697449123347, 1697449123413, 1697449123439, 1697449123465, 1697449123492, 1697449123518, 1697449123545, 1697449123571, 1697449123597, 1697449123623, 1697449123649, 1697449123675, 1697449123701, 1697449123727, 1697449123754, 1697449123779, 1697449123815, 1697449123846, 1697449123872, 1697449123898, 1697449123939, 1697449123979, 1697449124007, 1697449124033, 1697449124059, 1697449124085, 1697449124111, 1697449124137, 1697449124163, 1697449124190]"
8,419,8,[],200,google/flan-t5-xxl,1,1,584.0,1,4,A100,1697449124193,1697449124777,120,88,20,"[18, 64, 26, 27, 26, 26, 26, 27, 26, 26, 26, 26, 26, 27, 26, 29, 26, 27, 26, 26, 27]","[1697449124211, 1697449124275, 1697449124301, 1697449124328, 1697449124354, 1697449124380, 1697449124406, 1697449124433, 1697449124459, 1697449124485, 1697449124511, 1697449124537, 1697449124563, 1697449124590, 1697449124616, 1697449124645, 1697449124671, 1697449124698, 1697449124724, 1697449124750, 1697449124777]"
9,4,9,[],200,google/flan-t5-xxl,1,1,627.0,1,4,A100,1697449124780,1697449125407,120,89,20,"[17, 75, 26, 26, 44, 44, 26, 26, 26, 27, 26, 27, 26, 26, 26, 27, 26, 27, 26, 26, 27]","[1697449124797, 1697449124872, 1697449124898, 1697449124924, 1697449124968, 1697449125012, 1697449125038, 1697449125064, 1697449125090, 1697449125117, 1697449125143, 1697449125170, 1697449125196, 1697449125222, 1697449125248, 1697449125275, 1697449125301, 1697449125328, 1697449125354, 1697449125380, 1697449125407]"
