,smpnum,reqnum,errors,status,model,num_users,requests,latency_ms,records,n_gpus,gpu_type,start_timestamp,end_timestamp,experiment_duration_s,n_input_tokens,n_output_tokens,latency_ms_per_token,timestamps_per_token
0,158,0,[],200,google/flan-t5-xxl,8,1,788.0,1,4,H100,1697079534628,1697079535416,120,85,20,"[25, 171, 30, 24, 27, 82, 25, 25, 25, 24, 28, 25, 26, 73, 25, 24, 25, 25, 25, 27, 27]","[1697079534653, 1697079534824, 1697079534854, 1697079534878, 1697079534905, 1697079534987, 1697079535012, 1697079535037, 1697079535062, 1697079535086, 1697079535114, 1697079535139, 1697079535165, 1697079535238, 1697079535263, 1697079535287, 1697079535312, 1697079535337, 1697079535362, 1697079535389, 1697079535416]"
1,672,0,[],200,google/flan-t5-xxl,8,1,788.0,1,4,H100,1697079534628,1697079535416,120,93,20,"[33, 163, 30, 24, 27, 82, 25, 25, 25, 24, 28, 25, 26, 73, 25, 24, 25, 25, 25, 27, 27]","[1697079534661, 1697079534824, 1697079534854, 1697079534878, 1697079534905, 1697079534987, 1697079535012, 1697079535037, 1697079535062, 1697079535086, 1697079535114, 1697079535139, 1697079535165, 1697079535238, 1697079535263, 1697079535287, 1697079535312, 1697079535337, 1697079535362, 1697079535389, 1697079535416]"
2,861,0,[],200,google/flan-t5-xxl,8,1,196.0,1,4,H100,1697079534628,1697079534824,120,10,1,"[17, 179]","[1697079534645, 1697079534824]"
3,879,0,[],200,google/flan-t5-xxl,8,1,2155.0,1,4,H100,1697079534628,1697079536783,120,39,55,"[9, 55, 162, 24, 27, 82, 25, 25, 25, 24, 28, 25, 26, 73, 25, 24, 25, 25, 25, 27, 27, 83, 24, 82, 26, 30, 24, 24, 25, 82, 25, 24, 27, 24, 25, 74, 29, 26, 113, 26, 26, 84, 26, 81, 31, 25, 24, 27, 25, 24, 24, 77, 24, 24, 25, 27]","[1697079534637, 1697079534692, 1697079534854, 1697079534878, 1697079534905, 1697079534987, 1697079535012, 1697079535037, 1697079535062, 1697079535086, 1697079535114, 1697079535139, 1697079535165, 1697079535238, 1697079535263, 1697079535287, 1697079535312, 1697079535337, 1697079535362, 1697079535389, 1697079535416, 1697079535499, 1697079535523, 1697079535605, 1697079535631, 1697079535661, 1697079535685, 1697079535709, 1697079535734, 1697079535816, 1697079535841, 1697079535865, 1697079535892, 1697079535916, 1697079535941, 1697079536015, 1697079536044, 1697079536070, 1697079536183, 1697079536209, 1697079536235, 1697079536319, 1697079536345, 1697079536426, 1697079536457, 1697079536482, 1697079536506, 1697079536533, 1697079536558, 1697079536582, 1697079536606, 1697079536683, 1697079536707, 1697079536731, 1697079536756, 1697079536783]"
4,386,1,[],200,google/flan-t5-xxl,8,1,261.0,1,4,H100,1697079534825,1697079535086,120,140,6,"[9, 126, 27, 25, 25, 25, 24]","[1697079534834, 1697079534960, 1697079534987, 1697079535012, 1697079535037, 1697079535062, 1697079535086]"
5,752,0,[],200,google/flan-t5-xxl,8,1,250.0,1,4,H100,1697079534628,1697079534878,120,39,3,"[25, 171, 30, 24]","[1697079534653, 1697079534824, 1697079534854, 1697079534878]"
6,563,0,[],200,google/flan-t5-xxl,8,1,734.0,1,4,H100,1697079534628,1697079535362,120,874,18,"[33, 163, 30, 24, 27, 82, 25, 25, 25, 24, 28, 25, 26, 73, 25, 24, 25, 25, 25]","[1697079534661, 1697079534824, 1697079534854, 1697079534878, 1697079534905, 1697079534987, 1697079535012, 1697079535037, 1697079535062, 1697079535086, 1697079535114, 1697079535139, 1697079535165, 1697079535238, 1697079535263, 1697079535287, 1697079535312, 1697079535337, 1697079535362]"
7,339,0,[],200,google/flan-t5-xxl,8,1,788.0,1,4,H100,1697079534628,1697079535416,120,87,20,"[17, 179, 30, 24, 27, 82, 25, 25, 25, 24, 28, 25, 26, 73, 25, 24, 25, 25, 25, 27, 27]","[1697079534645, 1697079534824, 1697079534854, 1697079534878, 1697079534905, 1697079534987, 1697079535012, 1697079535037, 1697079535062, 1697079535086, 1697079535114, 1697079535139, 1697079535165, 1697079535238, 1697079535263, 1697079535287, 1697079535312, 1697079535337, 1697079535362, 1697079535389, 1697079535416]"
8,194,1,[],200,google/flan-t5-xxl,8,1,510.0,1,4,H100,1697079534879,1697079535389,120,335,16,"[8, 73, 27, 25, 25, 25, 24, 28, 25, 26, 73, 25, 24, 25, 25, 25, 27]","[1697079534887, 1697079534960, 1697079534987, 1697079535012, 1697079535037, 1697079535062, 1697079535086, 1697079535114, 1697079535139, 1697079535165, 1697079535238, 1697079535263, 1697079535287, 1697079535312, 1697079535337, 1697079535362, 1697079535389]"
9,710,1,[],200,google/flan-t5-xxl,8,1,157.0,1,4,H100,1697079535417,1697079535574,120,14,1,"[16, 141]","[1697079535433, 1697079535574]"
10,242,2,[],200,google/flan-t5-xxl,8,1,469.0,1,4,H100,1697079535575,1697079536044,120,345,9,"[8, 203, 30, 25, 24, 27, 24, 25, 74, 29]","[1697079535583, 1697079535786, 1697079535816, 1697079535841, 1697079535865, 1697079535892, 1697079535916, 1697079535941, 1697079536015, 1697079536044]"
11,231,0,[],200,google/flan-t5-xxl,8,1,64.0,1,4,H100,1697079534628,1697079534692,120,13,1,"[9, 55]","[1697079534637, 1697079534692]"
12,5,1,[],200,google/flan-t5-xxl,8,1,846.0,1,4,H100,1697079535363,1697079536209,120,84,20,"[8, 101, 27, 24, 82, 26, 30, 24, 24, 25, 82, 25, 24, 27, 24, 25, 74, 29, 26, 113, 26]","[1697079535371, 1697079535472, 1697079535499, 1697079535523, 1697079535605, 1697079535631, 1697079535661, 1697079535685, 1697079535709, 1697079535734, 1697079535816, 1697079535841, 1697079535865, 1697079535892, 1697079535916, 1697079535941, 1697079536015, 1697079536044, 1697079536070, 1697079536183, 1697079536209]"
