,smpnum,reqnum,errors,status,model,num_users,requests,latency_ms,records,n_gpus,gpu_type,start_timestamp,end_timestamp,experiment_duration_s,n_input_tokens,n_output_tokens,latency_ms_per_token,timestamps_per_token
0,854,0,[],200,google/flan-ul2,64,1,7020.0,1.0,2,A100,1697239419277,1697239426297.0,120,67.0,29.0,"[78, 5105, 76, 72, 65, 158, 66, 63, 49, 64, 64, 62, 56, 157, 51, 61, 49, 48, 60, 65, 58, 152, 42, 41, 52, 41, 41, 41, 42, 41]","[1697239419355, 1697239424460, 1697239424536, 1697239424608, 1697239424673, 1697239424831, 1697239424897, 1697239424960, 1697239425009, 1697239425073, 1697239425137, 1697239425199, 1697239425255, 1697239425412, 1697239425463, 1697239425524, 1697239425573, 1697239425621, 1697239425681, 1697239425746, 1697239425804, 1697239425956, 1697239425998, 1697239426039, 1697239426091, 1697239426132, 1697239426173, 1697239426214, 1697239426256, 1697239426297]"
1,69,0,[],200,google/flan-ul2,64,1,5333.0,1.0,2,A100,1697239419275,1697239424608.0,120,85.0,20.0,"[25, 680, 57, 42, 44, 45, 43, 42, 146, 43, 53, 42, 50, 41, 44, 61, 41, 41, 41, 3680, 72]","[1697239419300, 1697239419980, 1697239420037, 1697239420079, 1697239420123, 1697239420168, 1697239420211, 1697239420253, 1697239420399, 1697239420442, 1697239420495, 1697239420537, 1697239420587, 1697239420628, 1697239420672, 1697239420733, 1697239420774, 1697239420815, 1697239420856, 1697239424536, 1697239424608]"
2,69,0,[],200,google/flan-ul2,64,1,6526.0,1.0,2,A100,1697239419278,1697239425804.0,120,85.0,20.0,"[105, 5076, 77, 72, 65, 158, 65, 64, 49, 64, 64, 62, 56, 157, 51, 61, 49, 48, 60, 65, 58]","[1697239419383, 1697239424459, 1697239424536, 1697239424608, 1697239424673, 1697239424831, 1697239424896, 1697239424960, 1697239425009, 1697239425073, 1697239425137, 1697239425199, 1697239425255, 1697239425412, 1697239425463, 1697239425524, 1697239425573, 1697239425621, 1697239425681, 1697239425746, 1697239425804]"
3,641,0,[],200,google/flan-ul2,64,1,7897.0,1.0,2,A100,1697239419551,1697239427448.0,120,16.0,50.0,"[17, 4891, 76, 73, 66, 157, 66, 64, 48, 64, 64, 62, 56, 157, 51, 61, 48, 49, 60, 65, 59, 151, 41, 42, 52, 41, 41, 41, 42, 40, 50, 41, 168, 43, 40, 41, 40, 177, 41, 40, 52, 40, 40, 41, 42, 40, 40, 40, 49, 41, 45]","[1697239419568, 1697239424459, 1697239424535, 1697239424608, 1697239424674, 1697239424831, 1697239424897, 1697239424961, 1697239425009, 1697239425073, 1697239425137, 1697239425199, 1697239425255, 1697239425412, 1697239425463, 1697239425524, 1697239425572, 1697239425621, 1697239425681, 1697239425746, 1697239425805, 1697239425956, 1697239425997, 1697239426039, 1697239426091, 1697239426132, 1697239426173, 1697239426214, 1697239426256, 1697239426296, 1697239426346, 1697239426387, 1697239426555, 1697239426598, 1697239426638, 1697239426679, 1697239426719, 1697239426896, 1697239426937, 1697239426977, 1697239427029, 1697239427069, 1697239427109, 1697239427150, 1697239427192, 1697239427232, 1697239427272, 1697239427312, 1697239427361, 1697239427402, 1697239427447]"
4,590,0,[],200,google/flan-ul2,64,1,6527.0,1.0,2,A100,1697239419277,1697239425804.0,120,88.0,20.0,"[70, 5113, 76, 72, 65, 158, 65, 64, 49, 64, 64, 62, 56, 158, 50, 61, 49, 48, 60, 66, 57]","[1697239419347, 1697239424460, 1697239424536, 1697239424608, 1697239424673, 1697239424831, 1697239424896, 1697239424960, 1697239425009, 1697239425073, 1697239425137, 1697239425199, 1697239425255, 1697239425413, 1697239425463, 1697239425524, 1697239425573, 1697239425621, 1697239425681, 1697239425747, 1697239425804]"
5,718,0,[],200,google/flan-ul2,64,1,4908.0,1.0,2,A100,1697239419552,1697239424460.0,120,13.0,1.0,"[37, 4870]","[1697239419589, 1697239424459]"
6,609,0,[],200,google/flan-ul2,64,1,6530.0,1.0,2,A100,1697239419274,1697239425804.0,120,88.0,20.0,"[71, 5114, 77, 72, 65, 158, 65, 64, 49, 64, 64, 62, 56, 158, 50, 61, 49, 48, 60, 66, 57]","[1697239419345, 1697239424459, 1697239424536, 1697239424608, 1697239424673, 1697239424831, 1697239424896, 1697239424960, 1697239425009, 1697239425073, 1697239425137, 1697239425199, 1697239425255, 1697239425413, 1697239425463, 1697239425524, 1697239425573, 1697239425621, 1697239425681, 1697239425747, 1697239425804]"
7,444,0,[],200,google/flan-ul2,64,1,6347.0,1.0,2,A100,1697239419274,1697239425621.0,120,457.0,6.0,"[99, 5978, 61, 51, 61, 49, 48]","[1697239419373, 1697239425351, 1697239425412, 1697239425463, 1697239425524, 1697239425573, 1697239425621]"
8,389,0,[],200,google/flan-ul2,64,1,1073.0,1.0,2,A100,1697239419275,1697239420348.0,120,8.0,1.0,"[29, 1044]","[1697239419304, 1697239420348]"
9,837,0,[],200,google/flan-ul2,64,1,6529.0,1.0,2,A100,1697239419275,1697239425804.0,120,85.0,20.0,"[33, 5151, 77, 72, 65, 158, 65, 64, 49, 64, 64, 62, 56, 157, 51, 61, 49, 47, 61, 65, 58]","[1697239419308, 1697239424459, 1697239424536, 1697239424608, 1697239424673, 1697239424831, 1697239424896, 1697239424960, 1697239425009, 1697239425073, 1697239425137, 1697239425199, 1697239425255, 1697239425412, 1697239425463, 1697239425524, 1697239425573, 1697239425620, 1697239425681, 1697239425746, 1697239425804]"
