,smpnum,reqnum,errors,status,model,num_users,requests,latency_ms,records,n_gpus,gpu_type,start_timestamp,end_timestamp,experiment_duration_s,n_input_tokens,n_output_tokens,latency_ms_per_token,timestamps_per_token
0,879,0,[],200,google/flan-ul2,4,1,2149.0,1.0,4,H100,1697084328230,1697084330379,120,39.0,55.0,"[6, 69, 94, 30, 30, 31, 30, 31, 30, 30, 30, 30, 30, 30, 30, 30, 30, 34, 30, 33, 88, 32, 95, 30, 29, 37, 84, 30, 29, 30, 30, 29, 37, 32, 85, 30, 30, 30, 29, 30, 30, 30, 37, 30, 30, 33, 90, 30, 30, 30, 29, 31, 36, 33, 86, 30]","[1697084328236, 1697084328305, 1697084328399, 1697084328429, 1697084328459, 1697084328490, 1697084328520, 1697084328551, 1697084328581, 1697084328611, 1697084328641, 1697084328671, 1697084328701, 1697084328731, 1697084328761, 1697084328791, 1697084328821, 1697084328855, 1697084328885, 1697084328918, 1697084329006, 1697084329038, 1697084329133, 1697084329163, 1697084329192, 1697084329229, 1697084329313, 1697084329343, 1697084329372, 1697084329402, 1697084329432, 1697084329461, 1697084329498, 1697084329530, 1697084329615, 1697084329645, 1697084329675, 1697084329705, 1697084329734, 1697084329764, 1697084329794, 1697084329824, 1697084329861, 1697084329891, 1697084329921, 1697084329954, 1697084330044, 1697084330074, 1697084330104, 1697084330134, 1697084330163, 1697084330194, 1697084330230, 1697084330263, 1697084330349, 1697084330379]"
1,563,0,[],200,google/flan-ul2,4,1,656.0,1.0,4,H100,1697084328230,1697084328886,120,874.0,18.0,"[6, 69, 94, 30, 30, 31, 30, 31, 30, 30, 30, 30, 30, 30, 30, 30, 30, 34, 30]","[1697084328236, 1697084328305, 1697084328399, 1697084328429, 1697084328459, 1697084328490, 1697084328520, 1697084328551, 1697084328581, 1697084328611, 1697084328641, 1697084328671, 1697084328701, 1697084328731, 1697084328761, 1697084328791, 1697084328821, 1697084328855, 1697084328885]"
2,672,0,[],200,google/flan-ul2,4,1,775.0,1.0,4,H100,1697084328231,1697084329006,120,93.0,20.0,"[9, 125, 34, 30, 30, 31, 30, 31, 30, 30, 30, 30, 30, 30, 30, 30, 30, 34, 30, 33, 88]","[1697084328240, 1697084328365, 1697084328399, 1697084328429, 1697084328459, 1697084328490, 1697084328520, 1697084328551, 1697084328581, 1697084328611, 1697084328641, 1697084328671, 1697084328701, 1697084328731, 1697084328761, 1697084328791, 1697084328821, 1697084328855, 1697084328885, 1697084328918, 1697084329006]"
3,158,0,[],200,google/flan-ul2,4,1,776.0,1.0,4,H100,1697084328230,1697084329006,120,85.0,20.0,"[10, 125, 34, 30, 30, 31, 30, 31, 30, 30, 30, 30, 30, 30, 30, 30, 30, 34, 30, 33, 88]","[1697084328240, 1697084328365, 1697084328399, 1697084328429, 1697084328459, 1697084328490, 1697084328520, 1697084328551, 1697084328581, 1697084328611, 1697084328641, 1697084328671, 1697084328701, 1697084328731, 1697084328761, 1697084328791, 1697084328821, 1697084328855, 1697084328885, 1697084328918, 1697084329006]"
4,748,1,[],200,google/flan-ul2,4,1,611.0,1.0,4,H100,1697084328887,1697084329498,120,182.0,14.0,"[5, 77, 37, 32, 95, 30, 29, 37, 84, 30, 29, 30, 30, 29, 37]","[1697084328892, 1697084328969, 1697084329006, 1697084329038, 1697084329133, 1697084329163, 1697084329192, 1697084329229, 1697084329313, 1697084329343, 1697084329372, 1697084329402, 1697084329432, 1697084329461, 1697084329498]"
5,335,1,[],200,google/flan-ul2,4,1,2427.0,1.0,4,H100,1697084329007,1697084331434,120,58.0,62.0,"[5, 85, 36, 30, 29, 37, 84, 30, 29, 30, 30, 29, 37, 32, 85, 30, 30, 30, 29, 30, 30, 30, 37, 30, 30, 33, 90, 30, 30, 30, 29, 31, 36, 33, 86, 30, 33, 30, 91, 30, 30, 30, 29, 33, 79, 94, 30, 29, 30, 91, 29, 30, 30, 29, 30, 30, 36, 30, 29, 30, 30, 30, 33]","[1697084329012, 1697084329097, 1697084329133, 1697084329163, 1697084329192, 1697084329229, 1697084329313, 1697084329343, 1697084329372, 1697084329402, 1697084329432, 1697084329461, 1697084329498, 1697084329530, 1697084329615, 1697084329645, 1697084329675, 1697084329705, 1697084329734, 1697084329764, 1697084329794, 1697084329824, 1697084329861, 1697084329891, 1697084329921, 1697084329954, 1697084330044, 1697084330074, 1697084330104, 1697084330134, 1697084330163, 1697084330194, 1697084330230, 1697084330263, 1697084330349, 1697084330379, 1697084330412, 1697084330442, 1697084330533, 1697084330563, 1697084330593, 1697084330623, 1697084330652, 1697084330685, 1697084330764, 1697084330858, 1697084330888, 1697084330917, 1697084330947, 1697084331038, 1697084331067, 1697084331097, 1697084331127, 1697084331156, 1697084331186, 1697084331216, 1697084331252, 1697084331282, 1697084331311, 1697084331341, 1697084331371, 1697084331401, 1697084331434]"
6,5,2,[],200,google/flan-ul2,4,1,732.0,1.0,4,H100,1697084329499,1697084330231,120,84.0,20.0,"[5, 77, 34, 30, 30, 30, 29, 30, 30, 30, 37, 30, 30, 33, 90, 30, 30, 30, 29, 31, 37]","[1697084329504, 1697084329581, 1697084329615, 1697084329645, 1697084329675, 1697084329705, 1697084329734, 1697084329764, 1697084329794, 1697084329824, 1697084329861, 1697084329891, 1697084329921, 1697084329954, 1697084330044, 1697084330074, 1697084330104, 1697084330134, 1697084330163, 1697084330194, 1697084330231]"
7,190,3,[],200,google/flan-ul2,4,1,421.0,1.0,4,H100,1697084330231,1697084330652,120,335.0,10.0,"[5, 79, 34, 30, 33, 30, 91, 30, 30, 29, 30]","[1697084330236, 1697084330315, 1697084330349, 1697084330379, 1697084330412, 1697084330442, 1697084330533, 1697084330563, 1697084330593, 1697084330622, 1697084330652]"
8,491,4,[],200,google/flan-ul2,4,1,82.0,1.0,4,H100,1697084330653,1697084330735,120,14.0,1.0,"[5, 77]","[1697084330658, 1697084330735]"
9,678,5,[],200,google/flan-ul2,4,1,665.0,1.0,4,H100,1697084330736,1697084331401,120,244.0,18.0,"[4, 78, 40, 30, 29, 30, 90, 30, 30, 30, 29, 30, 30, 36, 29, 30, 30, 30, 30]","[1697084330740, 1697084330818, 1697084330858, 1697084330888, 1697084330917, 1697084330947, 1697084331037, 1697084331067, 1697084331097, 1697084331127, 1697084331156, 1697084331186, 1697084331216, 1697084331252, 1697084331281, 1697084331311, 1697084331341, 1697084331371, 1697084331401]"
10,857,1,[],200,google/flan-ul2,4,1,90.0,1.0,4,H100,1697084329007,1697084329097,120,18.0,1.0,"[5, 85]","[1697084329012, 1697084329097]"
11,88,2,[],200,google/flan-ul2,4,1,823.0,1.0,4,H100,1697084329098,1697084329921,120,58.0,20.0,"[5, 176, 34, 30, 29, 30, 30, 29, 37, 32, 85, 30, 30, 30, 29, 30, 30, 30, 37, 30, 30]","[1697084329103, 1697084329279, 1697084329313, 1697084329343, 1697084329372, 1697084329402, 1697084329432, 1697084329461, 1697084329498, 1697084329530, 1697084329615, 1697084329645, 1697084329675, 1697084329705, 1697084329734, 1697084329764, 1697084329794, 1697084329824, 1697084329861, 1697084329891, 1697084329921]"
12,834,6,[],200,google/flan-ul2,4,1,800.0,1.0,4,H100,1697084331402,1697084332202,120,85.0,20.0,"[5, 95, 34, 30, 30, 30, 84, 33, 30, 30, 91, 30, 30, 30, 37, 30, 30, 31, 30, 30, 30]","[1697084331407, 1697084331502, 1697084331536, 1697084331566, 1697084331596, 1697084331626, 1697084331710, 1697084331743, 1697084331773, 1697084331803, 1697084331894, 1697084331924, 1697084331954, 1697084331984, 1697084332021, 1697084332051, 1697084332081, 1697084332112, 1697084332142, 1697084332172, 1697084332202]"
13,382,3,[],200,google/flan-ul2,4,1,842.0,1.0,4,H100,1697084329922,1697084330764,120,47.0,20.0,"[5, 83, 34, 30, 30, 29, 30, 31, 36, 33, 86, 30, 33, 30, 91, 30, 30, 29, 30, 33, 79]","[1697084329927, 1697084330010, 1697084330044, 1697084330074, 1697084330104, 1697084330133, 1697084330163, 1697084330194, 1697084330230, 1697084330263, 1697084330349, 1697084330379, 1697084330412, 1697084330442, 1697084330533, 1697084330563, 1697084330593, 1697084330622, 1697084330652, 1697084330685, 1697084330764]"
14,227,1,[],200,google/flan-ul2,4,1,1021.0,1.0,4,H100,1697084330380,1697084331401,120,364.0,25.0,"[5, 115, 33, 30, 30, 29, 30, 33, 79, 94, 30, 29, 30, 91, 29, 30, 30, 29, 30, 30, 36, 29, 30, 30, 30, 30]","[1697084330385, 1697084330500, 1697084330533, 1697084330563, 1697084330593, 1697084330622, 1697084330652, 1697084330685, 1697084330764, 1697084330858, 1697084330888, 1697084330917, 1697084330947, 1697084331038, 1697084331067, 1697084331097, 1697084331127, 1697084331156, 1697084331186, 1697084331216, 1697084331252, 1697084331281, 1697084331311, 1697084331341, 1697084331371, 1697084331401]"
15,419,2,[],200,google/flan-ul2,4,1,800.0,1.0,4,H100,1697084331402,1697084332202,120,88.0,20.0,"[5, 95, 34, 30, 30, 30, 84, 33, 30, 30, 91, 30, 30, 30, 37, 30, 30, 31, 30, 30, 30]","[1697084331407, 1697084331502, 1697084331536, 1697084331566, 1697084331596, 1697084331626, 1697084331710, 1697084331743, 1697084331773, 1697084331803, 1697084331894, 1697084331924, 1697084331954, 1697084331984, 1697084332021, 1697084332051, 1697084332081, 1697084332112, 1697084332142, 1697084332172, 1697084332202]"
16,203,7,[],200,google/flan-ul2,4,1,640.0,1.0,4,H100,1697084332203,1697084332843,120,364.0,13.0,"[5, 94, 37, 30, 30, 82, 93, 30, 31, 33, 84, 30, 30, 31]","[1697084332208, 1697084332302, 1697084332339, 1697084332369, 1697084332399, 1697084332481, 1697084332574, 1697084332604, 1697084332635, 1697084332668, 1697084332752, 1697084332782, 1697084332812, 1697084332843]"
17,575,4,[],200,google/flan-ul2,4,1,946.0,1.0,4,H100,1697084330765,1697084331711,120,86.0,20.0,"[5, 234, 34, 29, 30, 30, 29, 30, 30, 36, 29, 30, 30, 30, 30, 33, 102, 30, 30, 30, 85]","[1697084330770, 1697084331004, 1697084331038, 1697084331067, 1697084331097, 1697084331127, 1697084331156, 1697084331186, 1697084331216, 1697084331252, 1697084331281, 1697084331311, 1697084331341, 1697084331371, 1697084331401, 1697084331434, 1697084331536, 1697084331566, 1697084331596, 1697084331626, 1697084331711]"
18,597,3,[],200,google/flan-ul2,4,1,99.0,1.0,4,H100,1697084332203,1697084332302,120,39.0,1.0,"[5, 94]","[1697084332208, 1697084332302]"
19,905,4,[],200,google/flan-ul2,4,1,149.0,1.0,4,H100,1697084332303,1697084332452,120,11.0,1.0,"[5, 144]","[1697084332308, 1697084332452]"
20,155,5,[],200,google/flan-ul2,4,1,798.0,1.0,4,H100,1697084332453,1697084333251,120,90.0,20.0,"[4, 83, 34, 30, 31, 33, 84, 30, 30, 30, 40, 84, 31, 36, 30, 30, 30, 30, 31, 30, 37]","[1697084332457, 1697084332540, 1697084332574, 1697084332604, 1697084332635, 1697084332668, 1697084332752, 1697084332782, 1697084332812, 1697084332842, 1697084332882, 1697084332966, 1697084332997, 1697084333033, 1697084333063, 1697084333093, 1697084333123, 1697084333153, 1697084333184, 1697084333214, 1697084333251]"
21,395,8,[],200,google/flan-ul2,4,1,811.0,1.0,4,H100,1697084332844,1697084333655,120,88.0,20.0,"[4, 84, 34, 31, 36, 30, 30, 30, 30, 31, 30, 37, 32, 95, 30, 30, 33, 94, 30, 30, 29]","[1697084332848, 1697084332932, 1697084332966, 1697084332997, 1697084333033, 1697084333063, 1697084333093, 1697084333123, 1697084333153, 1697084333184, 1697084333214, 1697084333251, 1697084333283, 1697084333378, 1697084333408, 1697084333438, 1697084333471, 1697084333565, 1697084333595, 1697084333625, 1697084333654]"
22,573,9,[],200,google/flan-ul2,4,1,119.0,1.0,4,H100,1697084333655,1697084333774,120,874.0,2.0,"[5, 80, 34]","[1697084333660, 1697084333740, 1697084333774]"
23,765,10,[],200,google/flan-ul2,4,1,182.0,1.0,4,H100,1697084333775,1697084333957,120,84.0,2.0,"[5, 143, 33]","[1697084333780, 1697084333923, 1697084333956]"
24,347,6,[],200,google/flan-ul2,4,1,3158.0,1.0,4,H100,1697084333252,1697084336410,120,100.0,72.0,"[5, 87, 34, 30, 30, 33, 94, 30, 30, 29, 33, 87, 33, 29, 36, 84, 33, 37, 29, 84, 94, 37, 29, 30, 79, 30, 30, 30, 87, 30, 30, 30, 30, 36, 85, 30, 36, 30, 30, 33, 87, 95, 30, 30, 37, 29, 30, 30, 30, 30, 33, 87, 29, 30, 30, 84, 33, 30, 30, 93, 34, 30, 30, 90, 33, 29, 30, 85, 36, 30, 30, 30, 30]","[1697084333257, 1697084333344, 1697084333378, 1697084333408, 1697084333438, 1697084333471, 1697084333565, 1697084333595, 1697084333625, 1697084333654, 1697084333687, 1697084333774, 1697084333807, 1697084333836, 1697084333872, 1697084333956, 1697084333989, 1697084334026, 1697084334055, 1697084334139, 1697084334233, 1697084334270, 1697084334299, 1697084334329, 1697084334408, 1697084334438, 1697084334468, 1697084334498, 1697084334585, 1697084334615, 1697084334645, 1697084334675, 1697084334705, 1697084334741, 1697084334826, 1697084334856, 1697084334892, 1697084334922, 1697084334952, 1697084334985, 1697084335072, 1697084335167, 1697084335197, 1697084335227, 1697084335264, 1697084335293, 1697084335323, 1697084335353, 1697084335383, 1697084335413, 1697084335446, 1697084335533, 1697084335562, 1697084335592, 1697084335622, 1697084335706, 1697084335739, 1697084335769, 1697084335799, 1697084335892, 1697084335926, 1697084335956, 1697084335986, 1697084336076, 1697084336109, 1697084336138, 1697084336168, 1697084336253, 1697084336289, 1697084336319, 1697084336349, 1697084336379, 1697084336409]"
