,Unnamed: 0,smpnum,reqnum,errors,status,model,num_users,requests,latency_ms,records,n_gpus,gpu_type,start_timestamp,end_timestamp,experiment_duration_s,n_input_tokens,n_output_tokens,latency_ms_per_token,timestamps_per_token
0,0,590,0,[],200,llama-7b,64,1,5425.0,1.0,4,T4,1697466960317,1697466965742.0,120,88.0,20.0,"[128, 2500, 78, 78, 75, 74, 72, 1024, 89, 88, 71, 70, 87, 84, 68, 422, 81, 88, 88, 85, 74]","[1697466960445, 1697466962945, 1697466963023, 1697466963101, 1697466963176, 1697466963250, 1697466963322, 1697466964346, 1697466964435, 1697466964523, 1697466964594, 1697466964664, 1697466964751, 1697466964835, 1697466964903, 1697466965325, 1697466965406, 1697466965494, 1697466965582, 1697466965667, 1697466965741]"
1,1,158,0,[],200,llama-7b,64,1,5353.0,1.0,4,T4,1697466960314,1697466965667.0,120,85.0,20.0,"[54, 975, 52, 1629, 77, 75, 74, 72, 1024, 89, 88, 71, 70, 87, 84, 68, 422, 81, 88, 88, 85]","[1697466960368, 1697466961343, 1697466961395, 1697466963024, 1697466963101, 1697466963176, 1697466963250, 1697466963322, 1697466964346, 1697466964435, 1697466964523, 1697466964594, 1697466964664, 1697466964751, 1697466964835, 1697466964903, 1697466965325, 1697466965406, 1697466965494, 1697466965582, 1697466965667]"
2,2,284,0,[],200,llama-7b,64,1,8476.0,1.0,4,T4,1697466960315,1697466968791.0,120,90.0,31.0,"[73, 2636, 77, 75, 74, 72, 1024, 89, 87, 72, 70, 87, 84, 68, 422, 81, 88, 88, 85, 74, 692, 60, 59, 59, 72, 794, 78, 64, 78, 77, 1017]","[1697466960388, 1697466963024, 1697466963101, 1697466963176, 1697466963250, 1697466963322, 1697466964346, 1697466964435, 1697466964522, 1697466964594, 1697466964664, 1697466964751, 1697466964835, 1697466964903, 1697466965325, 1697466965406, 1697466965494, 1697466965582, 1697466965667, 1697466965741, 1697466966433, 1697466966493, 1697466966552, 1697466966611, 1697466966683, 1697466967477, 1697466967555, 1697466967619, 1697466967697, 1697466967774, 1697466968791]"
3,3,99,0,[],200,llama-7b,64,1,2601.0,1.0,4,T4,1697466960344,1697466962945.0,120,10.0,1.0,"[110, 2491]","[1697466960454, 1697466962945]"
4,4,394,0,[],200,llama-7b,64,1,2628.0,1.0,4,T4,1697466960317,1697466962945.0,120,11.0,1.0,"[86, 2542]","[1697466960403, 1697466962945]"
5,5,69,0,[],200,llama-7b,64,1,5397.0,1.0,4,T4,1697466960344,1697466965741.0,120,85.0,20.0,"[175, 2426, 78, 78, 75, 74, 72, 1024, 89, 88, 71, 70, 87, 84, 68, 422, 81, 88, 88, 85, 74]","[1697466960519, 1697466962945, 1697466963023, 1697466963101, 1697466963176, 1697466963250, 1697466963322, 1697466964346, 1697466964435, 1697466964523, 1697466964594, 1697466964664, 1697466964751, 1697466964835, 1697466964903, 1697466965325, 1697466965406, 1697466965494, 1697466965582, 1697466965667, 1697466965741]"
6,6,96,0,[],200,llama-7b,64,1,2601.0,1.0,4,T4,1697466960344,1697466962945.0,120,31.0,1.0,"[192, 2409]","[1697466960536, 1697466962945]"
7,7,553,0,[],200,llama-7b,64,1,5424.0,1.0,4,T4,1697466960317,1697466965741.0,120,88.0,20.0,"[106, 2522, 78, 78, 75, 74, 72, 1024, 89, 87, 72, 70, 87, 84, 68, 422, 81, 88, 88, 85, 74]","[1697466960423, 1697466962945, 1697466963023, 1697466963101, 1697466963176, 1697466963250, 1697466963322, 1697466964346, 1697466964435, 1697466964522, 1697466964594, 1697466964664, 1697466964751, 1697466964835, 1697466964903, 1697466965325, 1697466965406, 1697466965494, 1697466965582, 1697466965667, 1697466965741]"
8,8,698,0,[],200,llama-7b,64,1,3005.0,1.0,4,T4,1697466960317,1697466963322.0,120,182.0,6.0,"[108, 2520, 78, 78, 75, 74, 72]","[1697466960425, 1697466962945, 1697466963023, 1697466963101, 1697466963176, 1697466963250, 1697466963322]"
9,9,202,0,[],200,llama-7b,64,1,16287.0,1.0,4,T4,1697466960344,1697466976631.0,120,874.0,72.0,"[187, 2414, 78, 78, 75, 74, 72, 1024, 89, 88, 71, 70, 87, 84, 68, 422, 81, 88, 88, 85, 74, 692, 60, 59, 59, 72, 794, 78, 64, 78, 77, 1017, 86, 73, 82, 81, 81, 931, 124, 75, 90, 90, 82, 68, 597, 90, 87, 88, 86, 68, 438, 79, 79, 61, 851, 89, 73, 591, 76, 74, 63, 76, 62, 918, 82, 77, 63, 74, 809, 84, 82, 81, 78]","[1697466960531, 1697466962945, 1697466963023, 1697466963101, 1697466963176, 1697466963250, 1697466963322, 1697466964346, 1697466964435, 1697466964523, 1697466964594, 1697466964664, 1697466964751, 1697466964835, 1697466964903, 1697466965325, 1697466965406, 1697466965494, 1697466965582, 1697466965667, 1697466965741, 1697466966433, 1697466966493, 1697466966552, 1697466966611, 1697466966683, 1697466967477, 1697466967555, 1697466967619, 1697466967697, 1697466967774, 1697466968791, 1697466968877, 1697466968950, 1697466969032, 1697466969113, 1697466969194, 1697466970125, 1697466970249, 1697466970324, 1697466970414, 1697466970504, 1697466970586, 1697466970654, 1697466971251, 1697466971341, 1697466971428, 1697466971516, 1697466971602, 1697466971670, 1697466972108, 1697466972187, 1697466972266, 1697466972327, 1697466973178, 1697466973267, 1697466973340, 1697466973931, 1697466974007, 1697466974081, 1697466974144, 1697466974220, 1697466974282, 1697466975200, 1697466975282, 1697466975359, 1697466975422, 1697466975496, 1697466976305, 1697466976389, 1697466976471, 1697466976552, 1697466976630]"
10,10,208,0,[],200,llama-7b,64,1,5353.0,1.0,4,T4,1697466960314,1697466965667.0,120,96.0,20.0,"[36, 993, 52, 1628, 78, 75, 74, 72, 1024, 89, 88, 71, 70, 87, 83, 69, 422, 81, 88, 88, 85]","[1697466960350, 1697466961343, 1697466961395, 1697466963023, 1697466963101, 1697466963176, 1697466963250, 1697466963322, 1697466964346, 1697466964435, 1697466964523, 1697466964594, 1697466964664, 1697466964751, 1697466964834, 1697466964903, 1697466965325, 1697466965406, 1697466965494, 1697466965582, 1697466965667]"
11,11,609,0,[],200,llama-7b,64,1,5353.0,1.0,4,T4,1697466960314,1697466965667.0,120,88.0,20.0,"[21, 1008, 52, 1628, 78, 75, 73, 73, 1024, 89, 87, 72, 70, 87, 84, 68, 422, 81, 88, 88, 85]","[1697466960335, 1697466961343, 1697466961395, 1697466963023, 1697466963101, 1697466963176, 1697466963249, 1697466963322, 1697466964346, 1697466964435, 1697466964522, 1697466964594, 1697466964664, 1697466964751, 1697466964835, 1697466964903, 1697466965325, 1697466965406, 1697466965494, 1697466965582, 1697466965667]"
12,12,858,0,[],200,llama-7b,64,1,4407.0,1.0,4,T4,1697466960344,1697466964751.0,120,182.0,12.0,"[184, 2496, 77, 75, 74, 72, 1024, 89, 88, 71, 70, 87]","[1697466960528, 1697466963024, 1697466963101, 1697466963176, 1697466963250, 1697466963322, 1697466964346, 1697466964435, 1697466964523, 1697466964594, 1697466964664, 1697466964751]"
13,13,202,0,[],200,llama-7b,64,1,16313.0,1.0,4,T4,1697466960317,1697466976630.0,120,874.0,72.0,"[96, 2532, 79, 77, 75, 74, 72, 1024, 89, 88, 71, 70, 87, 84, 68, 422, 81, 88, 88, 85, 74, 692, 60, 59, 59, 72, 794, 78, 64, 77, 78, 1017, 86, 73, 82, 81, 81, 935, 119, 76, 90, 90, 82, 68, 597, 90, 87, 88, 86, 68, 437, 80, 79, 61, 851, 89, 73, 591, 76, 74, 63, 76, 62, 917, 83, 78, 62, 74, 809, 84, 82, 81, 78]","[1697466960413, 1697466962945, 1697466963024, 1697466963101, 1697466963176, 1697466963250, 1697466963322, 1697466964346, 1697466964435, 1697466964523, 1697466964594, 1697466964664, 1697466964751, 1697466964835, 1697466964903, 1697466965325, 1697466965406, 1697466965494, 1697466965582, 1697466965667, 1697466965741, 1697466966433, 1697466966493, 1697466966552, 1697466966611, 1697466966683, 1697466967477, 1697466967555, 1697466967619, 1697466967696, 1697466967774, 1697466968791, 1697466968877, 1697466968950, 1697466969032, 1697466969113, 1697466969194, 1697466970129, 1697466970248, 1697466970324, 1697466970414, 1697466970504, 1697466970586, 1697466970654, 1697466971251, 1697466971341, 1697466971428, 1697466971516, 1697466971602, 1697466971670, 1697466972107, 1697466972187, 1697466972266, 1697466972327, 1697466973178, 1697466973267, 1697466973340, 1697466973931, 1697466974007, 1697466974081, 1697466974144, 1697466974220, 1697466974282, 1697466975199, 1697466975282, 1697466975360, 1697466975422, 1697466975496, 1697466976305, 1697466976389, 1697466976471, 1697466976552, 1697466976630]"
14,14,672,0,[],200,llama-7b,64,1,5353.0,1.0,4,T4,1697466960314,1697466965667.0,120,93.0,20.0,"[34, 995, 52, 1628, 78, 75, 74, 72, 1024, 89, 88, 71, 70, 87, 84, 68, 422, 81, 88, 88, 85]","[1697466960348, 1697466961343, 1697466961395, 1697466963023, 1697466963101, 1697466963176, 1697466963250, 1697466963322, 1697466964346, 1697466964435, 1697466964523, 1697466964594, 1697466964664, 1697466964751, 1697466964835, 1697466964903, 1697466965325, 1697466965406, 1697466965494, 1697466965582, 1697466965667]"
15,15,837,0,[],200,llama-7b,64,1,5354.0,1.0,4,T4,1697466960314,1697466965668.0,120,85.0,20.0,"[26, 1003, 52, 1628, 78, 75, 74, 72, 1024, 89, 87, 72, 70, 87, 84, 68, 422, 81, 88, 88, 85]","[1697466960340, 1697466961343, 1697466961395, 1697466963023, 1697466963101, 1697466963176, 1697466963250, 1697466963322, 1697466964346, 1697466964435, 1697466964522, 1697466964594, 1697466964664, 1697466964751, 1697466964835, 1697466964903, 1697466965325, 1697466965406, 1697466965494, 1697466965582, 1697466965667]"
16,16,448,0,[],200,llama-7b,64,1,4434.0,1.0,4,T4,1697466960317,1697466964751.0,120,335.0,12.0,"[98, 2530, 78, 78, 75, 74, 72, 1024, 89, 88, 71, 70, 87]","[1697466960415, 1697466962945, 1697466963023, 1697466963101, 1697466963176, 1697466963250, 1697466963322, 1697466964346, 1697466964435, 1697466964523, 1697466964594, 1697466964664, 1697466964751]"
